dates,daily_positive_cases
03-Mar,17425
04-Mar,16824
05-Mar,18324
06-Mar,18724
07-Mar,18650
08-Mar,15353
09-Mar,17873
10-Mar,22851
11-Mar,23298
12-Mar,24845
13-Mar,25154
14-Mar,26513
15-Mar,24437
16-Mar,28869
17-Mar,35838
18-Mar,39687
19-Mar,40906
20-Mar,43815
21-Mar,47009
22-Mar,40636
23-Mar,47239
24-Mar,53419
25-Mar,59085
26-Mar,62276
27-Mar,62632
28-Mar,68206
29-Mar,56152
30-Mar,53237
31-Mar,72115
01-Apr,81398
02-Apr,89023
03-Apr,92994
04-Apr,103794
05-Apr,96563
06-Apr,115312
07-Apr,126276
08-Apr,131878
09-Apr,144997
10-Apr,152565
11-Apr,169915
12-Apr,160854
13-Apr,185306
14-Apr,199584
15-Apr,216838
16-Apr,234002
17-Apr,260895
18-Apr,275083
19-Apr,257017
20-Apr,294378
21-Apr,315752
22-Apr,332531
23-Apr,345296
24-Apr,348996
25-Apr,354658
26-Apr,319471
27-Apr,362913
28-Apr,379403
29-Apr,386773
30-Apr,402014
01-May,392576
02-May,370090
03-May,355769
04-May,382847
05-May,412624
06-May,414280
07-May,406901
08-May,403808
09-May,366455
10-May,329491
11-May,348555
12-May,362632
13-May,343005
14-May,326256
15-May,310757
16-May,281837
17-May,263021
18-May,267246
19-May,276187
20-May,259242
21-May,257299
22-May,240897
23-May,222834
24-May,195857
25-May,208992
26-May,211510
27-May,186075
28-May,174083
29-May,165282
30-May,153396
31-May,126883
01-Jun,133152
02-Jun,134044
03-Jun,132424
04-Jun,120454
05-Jun,114488
06-Jun,101209
07-Jun,85804
08-Jun,92787
09-Jun,93883
10-Jun,91849
11-Jun,84574
12-Jun,80525
13-Jun,71001
14-Jun,60008
15-Jun,62217
16-Jun,67289
17-Jun,62436
18-Jun,60765
19-Jun,58615
20-Jun,52978
21-Jun,42683
22-Jun,50817
23-Jun,54309
24-Jun,51659
25-Jun,48768
26-Jun,49844
27-Jun,46523
28-Jun,37070
29-Jun,46104
30-Jun,48606
01-Jul,46781
02-Jul,44187
03-Jul,43027
04-Jul,40150
05-Jul,34026
06-Jul,43964
07-Jul,45701
08-Jul,43504
09-Jul,42660
10-Jul,41494
11-Jul,37654
12-Jul,30818
13-Jul,40314
14-Jul,41759
15-Jul,39071
16-Jul,38117
17-Jul,41283
18-Jul,38330
19-Jul,29420
20-Jul,42128
21-Jul,41687
22-Jul,34863
23-Jul,39501
24-Jul,40286
25-Jul,38179
26-Jul,30820
27-Jul,42971
28-Jul,43165
29-Jul,44671
30-Jul,41499
31-Jul,41943
01-Aug,40629
02-Aug,30085
03-Aug,42530
04-Aug,42797
05-Aug,45005
06-Aug,38705
07-Aug,39068
08-Aug,36036
09-Aug,27428
10-Aug,38376
11-Aug,41586
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
